platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	asus_tuf-ax6000	ASUS TUF-AX6000	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	asus_tuf-ax6000	ASUS TUF-AX6000	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	asus_tuf-ax6000	ASUS TUF-AX6000	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	asus_tuf-ax6000	ASUS TUF-AX6000	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	asus_zenwifi-bt8	ASUS ZenWiFi BT8	mt7988	open	edge	standard-usb
mtk	mediatek	filogic	asus_zenwifi-bt8	ASUS ZenWiFi BT8	mt7988	open	lts	standard-usb
mtk	mediatek	filogic	asus_zenwifi-bt8-ubootmod	ASUS ZenWiFi BT8 U-Boot mod	mt7988	open	edge	standard-usb
mtk	mediatek	filogic	asus_zenwifi-bt8-ubootmod	ASUS ZenWiFi BT8 U-Boot mod	mt7988	open	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3	Bananapi BPi-R3	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3	Bananapi BPi-R3	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3	Bananapi BPi-R3	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3	Bananapi BPi-R3	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3-mini	Bananapi BPi-R3 Mini	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3-mini	Bananapi BPi-R3 Mini	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3-mini	Bananapi BPi-R3 Mini	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r3-mini	Bananapi BPi-R3 Mini	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r4	Bananapi BPi-R4	mt7988	open	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r4	Bananapi BPi-R4	mt7988	open	lts	standard-usb
